"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Dec 04 01:24:56 GMT 2022","Sun Dec 04 01:24:56 GMT 2022","0","tests","test_inventory_page_p1","TestInventoryPage","","","test_inventory_page_sorting_by_price[Price (low to high)]",""
"broken","Sun Dec 04 01:24:58 GMT 2022","Sun Dec 04 01:24:58 GMT 2022","0","tests","test_login_page","TestLoginPage","","","test_unsuccessful_login[locked_out_user-Epic sadface: Sorry, this user has been locked out.]",""
"broken","Sun Dec 04 01:24:56 GMT 2022","Sun Dec 04 01:24:56 GMT 2022","0","tests","test_inventory_page_p1","TestInventoryPage","","","test_inventory_page_sorting_by_name[Name (A to Z)]",""
"broken","Sun Dec 04 01:24:58 GMT 2022","Sun Dec 04 01:24:58 GMT 2022","0","tests","test_login_page","TestLoginPage","","","test_unsuccessful_login[unregistered_user-Epic sadface: Username and password do not match any user in this service]",""
"broken","Sun Dec 04 01:24:59 GMT 2022","Sun Dec 04 01:24:59 GMT 2022","0","tests","test_login_page","TestLoginPage","","","test_unsuccessful_login[empty_username_user-Epic sadface: Username is required]",""
"broken","Sun Dec 04 01:24:59 GMT 2022","Sun Dec 04 01:24:59 GMT 2022","0","tests","test_login_page","TestLoginPage","","","test_inventory_logout_user",""
"broken","Sun Dec 04 01:25:00 GMT 2022","Sun Dec 04 01:25:00 GMT 2022","0","tests","test_your_info_page","TestYourInfoPage","","","test_checkout_all_fields_are_filled",""
"broken","Sun Dec 04 01:24:54 GMT 2022","Sun Dec 04 01:24:54 GMT 2022","0","tests","test_cart_page","TestCartPage","","","test_cart_page_remove_items_random_btn_cont_shopping",""
"broken","Sun Dec 04 01:25:00 GMT 2022","Sun Dec 04 01:25:00 GMT 2022","0","tests","test_your_info_page","TestYourInfoPage","","","test_checkout_fields_are_empty",""
"broken","Sun Dec 04 01:24:59 GMT 2022","Sun Dec 04 01:24:59 GMT 2022","0","tests","test_your_info_page","TestYourInfoPage","","","test_checkout_layout",""
"broken","Sun Dec 04 01:24:54 GMT 2022","Sun Dec 04 01:24:54 GMT 2022","0","tests","test_cart_page","TestCartPage","","","test_cart_page_remove_items",""
"broken","Sun Dec 04 01:24:52 GMT 2022","Sun Dec 04 01:24:52 GMT 2022","0","tests","test_cart_page","TestCartPage","","","test_cart_page_remove_items_random",""
"broken","Sun Dec 04 01:24:57 GMT 2022","Sun Dec 04 01:24:57 GMT 2022","0","tests","test_login_page","TestLoginPage","","","test_login_registered_user","Login using registered user credentials."
"broken","Sun Dec 04 01:24:55 GMT 2022","Sun Dec 04 01:24:55 GMT 2022","0","tests","test_inventory_page_p1","TestInventoryPage","","","test_inventory_page_sorting_by_name[Name (Z to A)]",""
"broken","Sun Dec 04 01:24:54 GMT 2022","Sun Dec 04 01:24:54 GMT 2022","0","tests","test_detailed_page","TestDetailedPage","","","test_add_to_cart",""
"broken","Sun Dec 04 01:24:54 GMT 2022","Sun Dec 04 01:24:54 GMT 2022","0","tests","test_inventory_page_p1","TestInventoryPage","","","test_inventory_page_sorting_by_price[Price (high to low)]",""
"broken","Sun Dec 04 01:24:57 GMT 2022","Sun Dec 04 01:24:57 GMT 2022","0","tests","test_inventory_page_p1","TestInventoryPage","","","test_add_item_to_cart",""
"broken","Sun Dec 04 01:24:52 GMT 2022","Sun Dec 04 01:24:52 GMT 2022","0","tests","test_cart_page","TestCartPage","","","test_cart_url_btn",""
"broken","Sun Dec 04 01:24:59 GMT 2022","Sun Dec 04 01:24:59 GMT 2022","0","tests","test_login_page","TestLoginPage","","","test_unsuccessful_login[empty_password_user-Epic sadface: Password is required]",""
"broken","Sun Dec 04 01:24:55 GMT 2022","Sun Dec 04 01:24:55 GMT 2022","0","tests","test_inventory_page_p1","TestInventoryPage","","","test_inventory_page_content",""
