"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Dec 04 01:32:03 GMT 2022","Sun Dec 04 01:32:03 GMT 2022","0","tests","test_sample","TestSample","","","test_login_invalid",""
"broken","Sun Dec 04 01:31:55 GMT 2022","Sun Dec 04 01:31:55 GMT 2022","0","tests","test_cart_page","TestCartPage","","","test_cart_page_remove_items",""
"broken","Sun Dec 04 01:32:01 GMT 2022","Sun Dec 04 01:32:01 GMT 2022","0","tests","test_login_page","TestLoginPage","","","test_unsuccessful_login[empty_password_user-Epic sadface: Password is required]",""
"broken","Sun Dec 04 01:31:56 GMT 2022","Sun Dec 04 01:31:56 GMT 2022","0","tests","test_cart_page","TestCartPage","","","test_cart_page_remove_items_random",""
"broken","Sun Dec 04 01:32:04 GMT 2022","Sun Dec 04 01:32:04 GMT 2022","0","tests","test_your_info_page","TestYourInfoPage","","","test_checkout_fields_are_empty",""
"broken","Sun Dec 04 01:31:53 GMT 2022","Sun Dec 04 01:31:53 GMT 2022","0","tests","test_cart_page","TestCartPage","","","test_cart_url_btn",""
"broken","Sun Dec 04 01:31:59 GMT 2022","Sun Dec 04 01:31:59 GMT 2022","0","tests","test_inventory_page_p1","TestInventoryPage","","","test_add_item_to_cart",""
"broken","Sun Dec 04 01:32:04 GMT 2022","Sun Dec 04 01:32:04 GMT 2022","0","tests","test_your_info_page","TestYourInfoPage","","","test_checkout_all_fields_are_filled",""
"broken","Sun Dec 04 01:31:59 GMT 2022","Sun Dec 04 01:31:59 GMT 2022","0","tests","test_login_page","TestLoginPage","","","test_unsuccessful_login[unregistered_user-Epic sadface: Username and password do not match any user in this service]",""
"broken","Sun Dec 04 01:32:01 GMT 2022","Sun Dec 04 01:32:01 GMT 2022","0","tests","test_login_page","TestLoginPage","","","test_inventory_logout_user",""
"broken","Sun Dec 04 01:32:02 GMT 2022","Sun Dec 04 01:32:02 GMT 2022","0","tests","test_sample","TestSample","","","test_sample[problem_user-secret_sauce]",""
"broken","Sun Dec 04 01:32:03 GMT 2022","Sun Dec 04 01:32:03 GMT 2022","0","tests","test_your_info_page","TestYourInfoPage","","","test_checkout_layout",""
"broken","Sun Dec 04 01:31:55 GMT 2022","Sun Dec 04 01:31:55 GMT 2022","0","tests","test_detailed_page","TestDetailedPage","","","test_add_to_cart",""
"broken","Sun Dec 04 01:31:57 GMT 2022","Sun Dec 04 01:31:57 GMT 2022","0","tests","test_inventory","TestCartClass","","","Button text after remove",""
"broken","Sun Dec 04 01:31:57 GMT 2022","Sun Dec 04 01:31:57 GMT 2022","0","tests","test_inventory_page_p1","TestInventoryPage","","","test_inventory_page_sorting_by_name[Name (Z to A)]",""
"broken","Sun Dec 04 01:32:00 GMT 2022","Sun Dec 04 01:32:00 GMT 2022","0","tests","test_login_page","TestLoginPage","","","test_unsuccessful_login[empty_username_user-Epic sadface: Username is required]",""
"broken","Sun Dec 04 01:31:57 GMT 2022","Sun Dec 04 01:31:57 GMT 2022","0","tests","test_inventory_page_p1","TestInventoryPage","","","test_inventory_page_sorting_by_price[Price (low to high)]",""
"broken","Sun Dec 04 01:31:56 GMT 2022","Sun Dec 04 01:31:56 GMT 2022","0","tests","test_inventory","TestCartClass","","","Bage change when adding",""
"broken","Sun Dec 04 01:31:58 GMT 2022","Sun Dec 04 01:31:58 GMT 2022","0","tests","test_inventory_page_p1","TestInventoryPage","","","test_inventory_page_sorting_by_name[Name (A to Z)]",""
"broken","Sun Dec 04 01:32:00 GMT 2022","Sun Dec 04 01:32:00 GMT 2022","0","tests","test_login_page","TestLoginPage","","","test_unsuccessful_login[locked_out_user-Epic sadface: Sorry, this user has been locked out.]",""
"skipped","Sun Dec 04 01:32:02 GMT 2022","Sun Dec 04 01:32:02 GMT 2022","0","tests","test_sample","TestSample","","","test_login_skip",""
"skipped","Sun Dec 04 01:32:02 GMT 2022","Sun Dec 04 01:32:02 GMT 2022","0","tests","test_sample","TestSample","","","test_always_fail",""
"broken","Sun Dec 04 01:31:57 GMT 2022","Sun Dec 04 01:31:57 GMT 2022","0","tests","test_inventory_page_p1","TestInventoryPage","","","test_inventory_page_content",""
"broken","Sun Dec 04 01:31:58 GMT 2022","Sun Dec 04 01:31:58 GMT 2022","0","tests","test_inventory_page_p1","TestInventoryPage","","","test_inventory_page_sorting_by_price[Price (high to low)]",""
"broken","Sun Dec 04 01:31:59 GMT 2022","Sun Dec 04 01:31:59 GMT 2022","0","tests","test_login_page","TestLoginPage","","","test_login_registered_user","Login using registered user credentials."
"broken","Sun Dec 04 01:32:01 GMT 2022","Sun Dec 04 01:32:01 GMT 2022","0","tests","test_sample","TestSample","","","test_sample[standard_user-secret_sauce]",""
"broken","Sun Dec 04 01:31:53 GMT 2022","Sun Dec 04 01:31:53 GMT 2022","0","tests","test_cart_page","TestCartPage","","","test_cart_page_remove_items_random_btn_cont_shopping",""
